workerid,condition,browser,gender,age,storyID,order,whichCharFirst,trialType,distance1,distance2,attentionCheck1,attentionCheck2,attentionCheckWL1,attentionCheckWL2,reactionTime,happy1,sad1,relief1,regret1,content1,disapp1,happy2,sad2,relief2,regret2,content2,disapp2,forcedWorse
81,1,Chrome,F,52,7,0,1,1,1,5,1,5,L,L,94999,1,1,1,8,1,8,1,9,1,7,1,9,3
82,1,Chrome,M,28,7,0,1,1,1,5,1,5,L,L,129434,3,8,1,8,4,9,2,8,1,7,4,9,3
83,1,Chrome,M,25,7,0,2,1,5,1,5,1,L,L,55190,3,4,3,5,3,5,3,5,3,5,3,5,3
84,1,Chrome,M,34,7,0,2,1,5,1,5,1,L,L,87438,2,7,4,5,2,8,2,7,4,7,1,6,3
85,1,Chrome,M,23,7,0,2,1,5,1,5,1,L,L,82041,2,8,2,7,2,8,2,8,2,7,2,8,3
86,1,Chrome,M,29,7,0,1,1,1,5,1,5,L,L,108852,2,7,1,8,2,9,2,6,1,8,1,8,3
87,1,Firefox,M,30,7,0,2,1,5,1,5,1,L,L,109265,3,3,6,3,5,6,3,3,6,3,5,6,3
88,1,Chrome,F,27,7,0,1,1,1,5,1,5,L,L,70904,1,7,1,6,1,9,1,7,1,6,1,9,3
89,1,Firefox,F,28,7,0,2,1,5,1,5,1,L,L,66632,1,9,2,5,2,9,1,9,1,4,1,9,3
90,1,Firefox,F,35,7,0,1,1,1,5,1,5,L,L,123893,1,7,1,6,7,9,1,7,1,7,7,9,2
91,1,Firefox,M,38,7,0,1,1,1,5,1,5,L,L,162833,1,8,2,8,3,9,1,8,2,9,2,9,2
92,1,Chrome,M,23,7,0,2,1,5,1,5,1,L,L,90177,3,3,3,5,4,6,3,3,3,4,3,6,3
93,1,Chrome,F,23,7,0,1,1,1,5,1,5,L,L,77326,1,7,1,8,1,9,1,8,1,9,1,9,3
94,1,Chrome,F,23,7,0,2,1,5,1,5,1,L,L,53560,4,5,3,4,3,6,3,6,2,4,3,6,3
95,1,Chrome,M,24,7,0,1,1,1,5,1,5,L,L,123544,1,7,3,8,8,9,3,7,3,6,2,7,1
96,1,Chrome,M,26,7,0,1,1,1,5,1,5,L,L,115794,8,2,2,2,2,6,8,2,3,3,3,7,3
97,1,Chrome,M,43,7,0,2,1,5,1,5,1,L,L,159400,1,8,1,9,1,9,1,8,1,9,1,9,3
98,1,Firefox,M,30,7,0,2,1,5,1,5,1,L,L,129809,1,4,1,9,1,9,1,6,1,9,1,9,3
99,1,Chrome,M,25,7,0,2,1,5,1,1,5,L,L,36961,2,6,2,6,6,6,2,8,4,8,6,6,3
100,1,Explorer,M,32,7,0,1,1,1,5,1,5,L,L,126496,1,9,1,9,1,9,1,9,1,9,1,9,3
101,1,Chrome,M,28,7,0,2,1,5,1,5,1,L,L,91677,1,6,1,5,3,9,1,4,3,4,2,9,3
102,1,Chrome,M,24,7,0,2,1,5,1,5,1,L,L,68356,1,7,1,5,1,9,1,7,1,5,1,9,3
103,1,Chrome,M,22,7,0,1,1,1,5,1,5,L,L,135349,1,9,6,7,3,9,1,8,3,9,2,9,2
104,1,Chrome,F,36,7,0,2,1,5,1,5,1,L,L,119792,4,5,4,6,4,6,4,6,4,7,4,6,3
105,1,Firefox,M,39,7,0,2,1,5,1,5,1,L,L,103315,2,7,1,6,3,9,2,6,1,6,2,9,3
106,1,Chrome,M,32,7,0,1,1,1,5,1,5,L,L,184891,3,3,2,1,2,8,2,7,3,2,3,8,3
107,1,Chrome,F,21,7,0,2,1,5,1,5,1,L,L,61996,1,9,1,9,1,9,1,9,1,9,1,9,3
108,1,Chrome,F,19,7,0,1,1,1,5,1,5,L,L,50326,5,9,3,7,4,7,6,8,3,6,3,7,3
109,1,Chrome,M,24,7,0,1,1,1,5,1,5,L,L,82859,1,1,2,2,1,9,1,9,2,3,1,9,3
110,1,Chrome,F,22,7,0,1,1,1,5,1,0,L,L,893664,3,9,2,7,2,9,2,8,2,2,2,9,3
